question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,part,difficulty_level
"All employees must ------- their timesheets by the end of the day.","submit","submits","submitted","submission","A","'must' (～しなければならない) のような助動詞の後には、動詞の原形 (submit) が必要です。","PART5",500
"The marketing team will ------- a presentation at the next staff meeting.","give","gave","given","giving","A","'will' (～だろう) の後には、動詞の原形 (give) が必要です。 'give a presentation' は「プレゼンを行う」という定型表現です。","PART5",500
"Ms. Tanaka is ------- for coordinating all international shipments.","responsible","responsibility","responsibly","response","A","'is responsible for' は「～の責任を負っている」「～を担当している」という定型表現です。","PART5",550
"We ------- apologize for any inconvenience this delay may have caused.","sincerely","sincere","sincerity","sincereness","A","動詞 'apologize' (謝罪する) を修飾するためには、副詞 (sincerely - 心から) が必要です。","PART5",600
"This coupon is ------- until the end of November.","valid","valuable","validated","validity","A","be動詞 'is' の後には、形容詞 (valid - 有効な) が入り、「～まで有効である」という意味になります。","PART5",550
"------- the bad weather, the company picnic has been postponed.","Due to","Because","Although","Despite","A","'Due to' は「～が原因で」という前置詞で、後ろに名詞句 (the bad weather) が続きます。'Because' は接続詞のため、'Because the weather was bad, ...' となります。","PART5",650
"The new manager has implemented several ------- changes to the workflow.","effective","effect","effectively","effected","A","名詞 'changes' (変更) を修飾するためには、形容詞 (effective - 効果的な) が必要です。","PART5",600
"All ------- for the accounting position must have at least three years of experience.","applicants","applicable","apply","application","A","文脈上、「会計職の**応募者**」という意味が通るため、複数形の名詞 (applicants) が必要です。","PART5",650
"Please review the attached contract ------- before signing it.","carefully","careful","caring","cared","A","動詞 'review' (見直す) を修飾するため、副詞 (carefully - 注意深く) が必要です。","PART5",500
"Sales figures for the third quarter showed a ------- improvement.","significant","signify","significantly","signification","A","名詞 'improvement' (改善) を修飾するため、形容詞 (significant - 著しい、かなりの) が必要です。","PART5",600
"The budget proposal must be approved by the ------- of the department.","head","heading","headed","heads","A","'the head of the department' で「部門の長、責任者」という意味の定型表現です。","PART5",550
"The factory has ------- production capacity by 20 percent this year.","increased","increase","increasing","increasingly","A","'has' (have) の後には過去分詞 (increased) が入り、現在完了形「～を増やした」となります。","PART5",600
